batch_no	seed_proposal_key	source_id	source_key	name	semantic_kind_before	semantic_kind_after	semantic_review_decision	merge_candidate_keys	review_basis	gpt_leaf_family_policy	approval_state
401	ff9824b6e41b26da11b586144b505613ffca8363bc0755d44a2968b9828f214d	CIC_W	024	가설편의시설및부대시설	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_REVIEW003_REJECT_FACILITY_EQUIPMENT	INSUFFICIENT_EVIDENCE	NOT_APPROVED
402	1c3bb307cae93cbf15913ad1de463ba738c3a0e626efcf33ac51738f79dba326	CIC_W	025	업무용운송시설	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_REVIEW003_REJECT_FACILITY_EQUIPMENT	INSUFFICIENT_EVIDENCE	NOT_APPROVED
403	f3c15349fcae137915dd0a4ef583c8820c07c05a831b78176030fbd6f05c0561	CIC_W	026	가설울타리및현장출입문	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_REVIEW003_REJECT_FACILITY_EQUIPMENT	INSUFFICIENT_EVIDENCE	NOT_APPROVED
404	a815bdf41ff28fe4298cc171cad5854027bebd49424dd8696ce9c26a973664b0	CIC_W	027	가설안내시설및표지판	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_REVIEW003_REJECT_FACILITY_EQUIPMENT	INSUFFICIENT_EVIDENCE	NOT_APPROVED
405	2e0082852a2db8ea53408291290ddf422f15c6c34de356aa84e71a469fdad94e	CIC_W	031	공사용가설도로	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_REVIEW003_REJECT_FACILITY_EQUIPMENT	INSUFFICIENT_EVIDENCE	NOT_APPROVED
406	1faf794d96412b87fde99ab64caf8c154744e198967d20c0f1c58ddb0d9513aa	CIC_W	033	가설흙막이및지보공사	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	GPT_REVIEW003_KEEP_AS_DISTINCT_PROCESS	NO_CHILDREN	NOT_APPROVED
407	2a3b1c18afecac6d11341f5c3e392afb441bcc9e41339930c06b45732fd68a8d	CIC_W	034	터널가설	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	GPT_REVIEW003_KEEP_AS_DISTINCT_PROCESS	INSUFFICIENT_EVIDENCE	NOT_APPROVED
408	1cc1a8b85cbddf700ba4dfdd0b8f23a7c13078dab2583b7b4d3d1329525a3817	CIC_W	035	교량가설	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	GPT_REVIEW003_KEEP_AS_DISTINCT_PROCESS	NO_CHILDREN	NOT_APPROVED
409	da24560ea603b933412864f4de6f9964df311bc9b5436095be4860d483cdfd4c	CIC_W	038	가체절	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	GPT_REVIEW003_KEEP_AS_DISTINCT_PROCESS	NO_CHILDREN	NOT_APPROVED
410	ed24e98c7e863a042eefd22723c80c299bacb4544c1c38e6f509bc1c7ee2a835	CIC_W	052	기존도로유지보수	AMBIGUOUS	TASK	MERGE_CANDIDATE	bcb3457f521aca9f8edf395bf60f7596d1925192879e0c6d36a5fdcf1c72e549	GPT_REVIEW003_MERGE_CANDIDATE_TASK	SAFE_SINGLE_KIND_FAMILY	NOT_APPROVED
