case_no	review_concept_key	blocker_type	gpt_final_decision	canonical_parent_candidate	canonical_parent_candidate_name	parent_readiness	canonical_label_candidate	label_basis	label_readiness	source_context_policy	source_preservation	owner_approval_eligible	owner_approval_state	resolution_notes
01	96df527ccb239d96a2f604ac5848d689d174bacf9f0b5716d1c76dad7cc4375a	PARENT	NEAREST_CANDIDATE_PARENT_CONFIRMED	da54d4926aa79473fa6f89610338b0297765d601166ceb67ac95ba973da49bf0	댐공사	READY	EMPTY	EMPTY	EMPTY	PRESERVE_IN_SOURCE_MAPPING_EVIDENCE	YES	YES	NOT_APPROVED	excluded source parent remains REFERENCE_ONLY; nearest candidate ancestor is the parent candidate.
02	5bc3acd70ef94be1828618eb4eee664445fda4b87144a9b0b917ff2c6a19b740	PARENT	ROOT_STATUS_CONFIRMED	EMPTY	EMPTY	READY_ROOT	EMPTY	EMPTY	EMPTY	PRESERVE_IN_SOURCE_MAPPING_EVIDENCE	YES	YES	NOT_APPROVED	86/863/8631 remain one KEEP_SEPARATE concept. source root 86 is inside the same candidate. no new parent.
03	5ec54c9e3d66b25af9d10f82992e53383ce691ada40eb88359f08b8700262026	PARENT	NEAREST_CANDIDATE_PARENT_CONFIRMED	da54d4926aa79473fa6f89610338b0297765d601166ceb67ac95ba973da49bf0	댐공사	READY	EMPTY	EMPTY	EMPTY	PRESERVE_IN_SOURCE_MAPPING_EVIDENCE	YES	YES	NOT_APPROVED	excluded source parent remains REFERENCE_ONLY; nearest candidate ancestor is the parent candidate.
04	85186bfd8bcaa78e820ac5ddedf2c656d531931ecafbec8900ef596cc28ae9ee	LABEL_VARIANT	CLEAN_LABEL_MEMBER_CONFIRMED	EMPTY	EMPTY	EMPTY	배관및전로공사	EXPLICIT_CONNECTOR_CLEAN_SOURCE_MEMBER	READY	PRESERVE_RAW_SOURCE_LABELS	YES	YES	NOT_APPROVED	meaning-bearing token difference = 0. connector-normalized sequence identical. 및 member preserves explicit semantic text.
05	ba7464ebdf6a54c4e9f41527a34eb43bc81acd1179e83a68a1c0c6244ad03980	PARENT	ROOT_PROMOTION_CONFIRMED	EMPTY	EMPTY	READY_ROOT	EMPTY	EMPTY	EMPTY	PRESERVE_IN_SOURCE_MAPPING_EVIDENCE	YES	YES	NOT_APPROVED	06 공통장비 is FACILITY_EQUIPMENT REFERENCE_ONLY. 장비운반 is promoted to READY_ROOT. no new 공통장비 canonical.
06	b04a22eac59269ecbefbb8cb7b88dbc9bb80873d12c84cd2a917409e70d1dd4b	FROZEN_LABEL_HOLD	HOLD_LABEL_CONFIRMED	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	HOLD	PRESERVE_RAW_SOURCE	YES	NO	NOT_APPROVED	carry-forward REVIEW-015 HOLD_LABEL_CONFIRMED. no label invention.
07	8d001bee4680940152af6429b4c5f3827cfce258485b1683294cbe4bb94cdf1d	LABEL_VARIANT	CLEAN_LABEL_MEMBER_CONFIRMED	EMPTY	EMPTY	EMPTY	배선및가선공사	EXPLICIT_CONNECTOR_CLEAN_SOURCE_MEMBER	READY	PRESERVE_RAW_SOURCE_LABELS	YES	YES	NOT_APPROVED	meaning-bearing token difference = 0. connector-normalized sequence identical. 및 member preserves explicit semantic text.
08	c96ac36c304825c29ee231af7f514ce0ac096e0522815892526a63eb98631e39	PARENT	ROOT_PROMOTION_CONFIRMED	EMPTY	EMPTY	READY_ROOT	EMPTY	EMPTY	EMPTY	PRESERVE_IN_SOURCE_MAPPING_EVIDENCE	YES	YES	NOT_APPROVED	011 and 01 are excluded CLASSIFICATION. retained PROCESS/TASK is promoted to READY_ROOT. no new classification canonical.
09	18df971e963e4445f7d9de6e11e0f689795b23e52411ebe3f4e06552ab12c251	PARENT	ROOT_PROMOTION_CONFIRMED	EMPTY	EMPTY	READY_ROOT	EMPTY	EMPTY	EMPTY	PRESERVE_IN_SOURCE_MAPPING_EVIDENCE	YES	YES	NOT_APPROVED	011 and 01 are excluded CLASSIFICATION. retained PROCESS/TASK is promoted to READY_ROOT. no new classification canonical.
10	7a439acd29dd65f69446cf3e5799efa47c52dc521704096d4356e2e021028380	PARENT	ROOT_PROMOTION_CONFIRMED	EMPTY	EMPTY	READY_ROOT	EMPTY	EMPTY	EMPTY	PRESERVE_IN_SOURCE_MAPPING_EVIDENCE	YES	YES	NOT_APPROVED	011 and 01 are excluded CLASSIFICATION. retained PROCESS/TASK is promoted to READY_ROOT. no new classification canonical.
