review_no	seed_proposal_key	source_key	name	semantic_kind_before	semantic_kind_after	semantic_review_decision	merge_candidate_keys	review_basis	approval_state
692	1c27fb2b6ddb57c249eec187ad9f7b5429220441a8b1c1c69f63d7dc44a2362b	0112	공사계획	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	GPT_004A_KEEP_AS_DISTINCT_PROCESS	NOT_APPROVED
693	4f771ed8aaaa889b00cdd15bf8336bc5bc6287c697f4620743c514dff2ee98d4	0113	서류및샘플제출	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	GPT_004A_KEEP_AS_DISTINCT_TASK	NOT_APPROVED
694	5b82226c8c79638884fc1868a41a8feab47299949f5b56f20be6627335d08b68	0114	검측 기성	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	GPT_004A_KEEP_AS_DISTINCT_TASK	NOT_APPROVED
695	07afa487dbeb905134bbcead0f7de198d291587b85605382c5ee257c55904c6d	0115	품질관리	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	GPT_004A_KEEP_AS_DISTINCT_PROCESS	NOT_APPROVED
696	c4b54d801b0c1978cf2f30ee1f73588cfad6e6e3f7dd49a7c5a954fc0253a702	0116	공사회의	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	GPT_004A_KEEP_AS_DISTINCT_TASK	NOT_APPROVED
697	9ff873b9d84d1a6980eacb7320ac99da443be9442fa3a07d62fe89288dbd9737	0117	공사관리	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	GPT_004A_KEEP_AS_DISTINCT_PROCESS	NOT_APPROVED
698	05c9f8465c1350ae438b3ccd26a8de646e23d36459af8075c2a47f62ae10a22c	0118	시운전	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	GPT_004A_KEEP_AS_DISTINCT_TASK	NOT_APPROVED
699	6b31e36e31fe2cae834fd0fae21f0d8320d26d5e5fe5981f83c573c1cb4212d6	0119	준공및하자보수	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	GPT_004A_KEEP_AS_DISTINCT_PROCESS	NOT_APPROVED
700	1c5f282c7e89359015a87f8d5b875160ee20c042c9090ef81634746e63da22a9	0152	공통공사비	AMBIGUOUS	CLASSIFICATION	REJECT	EMPTY	GPT_004A_REJECT_CLASSIFICATION	NOT_APPROVED
701	240d54c6a7d0aa88f3942dd578b3a253d2a73b69e489b49d25447213e6b6e27a	0153	간접인건비	AMBIGUOUS	CLASSIFICATION	REJECT	EMPTY	GPT_004A_REJECT_CLASSIFICATION	NOT_APPROVED
702	c715959ca99a68ae560fff2e2535cbc850ff215ebd2862cab482cb1907bc2db4	0154	경비	AMBIGUOUS	CLASSIFICATION	REJECT	EMPTY	GPT_004A_REJECT_CLASSIFICATION	NOT_APPROVED
703	5459ac9907be88969f0bbbd518e20f2351a6a20ec58ba43880bb559a46c65a70	0155	일반관리비	AMBIGUOUS	CLASSIFICATION	REJECT	EMPTY	GPT_004A_REJECT_CLASSIFICATION	NOT_APPROVED
704	505acf6ef125b9f80a5b9d75da43d66e15fa8cee050243c69309724ee4215cab	0156	이윤	AMBIGUOUS	CLASSIFICATION	REJECT	EMPTY	GPT_004A_REJECT_CLASSIFICATION	NOT_APPROVED
705	95cb4a6b35486a7ac03622b12ac39cc19c67fe53a57b8710a29a3ad8044c41cb	0157	공사손해보험료	AMBIGUOUS	CLASSIFICATION	REJECT	EMPTY	GPT_004A_REJECT_CLASSIFICATION	NOT_APPROVED
706	6050c5432c965cb4ad9feaa516df77abf6a6d0d5f28f212e4a75fa873a9355d4	0158	부가가치세	AMBIGUOUS	CLASSIFICATION	REJECT	EMPTY	GPT_004A_REJECT_CLASSIFICATION	NOT_APPROVED
707	563707d5297511b8e497f05510b56014794280eb65c4190a84ec3dcdf4f5c7f8	0159	공사금액총계	AMBIGUOUS	CLASSIFICATION	REJECT	EMPTY	GPT_004A_REJECT_CLASSIFICATION	NOT_APPROVED
708	6f25acd8597af9bd073c258655ab9d4e98c357847285326c39313e5ce06485fd	0212	도급자가설건물부지	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
709	527a25e1d84f293780e8abe49b94320ae2a6ae4a9357256f8793ef75868c04fb	0213	가설공사용부지	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
710	546ec432f0f4f846e4958f3c8cfacd1bd0a65e66a4f936d684e95f8ce71fb86b	0214	토사 자재야적장	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
711	bc2eeea88c9b085ce99079b71cf6381a8f79befad79e3b36d764a7fcf156b1d6	0215	토사 자재폐기장	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	GPT_004A_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
