source_key	seed_proposal_key	name	hierarchy_level	source_review_stage	source_review_no	semantic_kind	semantic_review_decision	merge_candidate_keys	approval_state
414	25911ee3bb3b82327416f160dafdff848c0d93514178e972821f33212818e66b	ALC공사	W_MID	BATCH001	51	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
4141	d5b4ccc848e754883c35a9d1b44a42723798268b34e023493962a2dda144b8d4	ALC블록	W_LEAF	BATCH001	52	MATERIAL_COMPONENT	REJECT	EMPTY	NOT_APPROVED
4142	a7728f32de3fc0ae65a88ebd8435231dd128939b2542ae89f6a65fe1882fe2f3	ALC판넬	W_LEAF	BATCH001	53	MATERIAL_COMPONENT	REJECT	EMPTY	NOT_APPROVED
7351	120e45833dd68bfe0a0f2a096de07415b6a287fb396c85b652a98dcebfc32264	Absorber&AuxSystem공사	W_LEAF	BATCH001	54	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
2352	7185d093d571ac18405e863997673d3b0a14c1688b7c31035e5eb4bc1632bc7b	Attiplugite슬러리월	W_LEAF	BATCH001	55	AMBIGUOUS	HOLD	EMPTY	NOT_APPROVED
3412	f94eee52d48ef45f0a44677664858272c19dbcb89e581c7d852fee4913bb28aa	FCM공법	W_LEAF	BATCH001	56	AMBIGUOUS	HOLD	EMPTY	NOT_APPROVED
7355	97f82cc77e55db3c15aea0881a42738ef12cfea05adf614ea251de82747632f4	FGDAuxSystem공사	W_LEAF	BATCH001	57	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
4671	1c865c7caac006a11b86782de4307b081db4b504ef2b59e24cf2e14d4f495d94	FRP판넬	W_LEAF	BATCH001	58	MATERIAL_COMPONENT	REJECT	EMPTY	NOT_APPROVED
3413	9fc549e2cbadc980c350dff5f7e86ab9012456189125abf9c01961e6625332c3	FSM공법	W_LEAF	BATCH001	59	AMBIGUOUS	HOLD	EMPTY	NOT_APPROVED
7352	5ff58b19cef349edefadfe9c0df983ff039da726b42c0d9e18e44f53aa953541	FlueGasSystem공사	W_LEAF	BATCH001	60	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
2256	93d31167a68d963ed8c9385ef8f2131ce36a8e4dd84ffeff6b03c00c889dbe93	GCP(GravelCompactionPile)	W_LEAF	BATCH001	61	AMBIGUOUS	HOLD	EMPTY	NOT_APPROVED
8231	166fcc28daca592d7f0f79de969c032c3bf11e2066c7668ad8fbe8010db6f7cc	GIS공사	W_LEAF	BATCH001	62	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
3411	9b9e63b59e70420fbc4aaaad17fd2dcff623853aa7499cac923b30f025548327	ILM공법	W_LEAF	BATCH001	63	AMBIGUOUS	HOLD	EMPTY	NOT_APPROVED
762	ee1f60355c52e3d3ce0942221e3dfabd5d40af129a476e0fc1c5c6d5d7ac7d6f	LNG및원유저장공사	W_MID	BATCH001	64	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
7621	4892305bf05bcaaa4310aa53129268992ae9bd6738eb28f42ce6f9505fc98a8f	LNG및원유저장설비공사	W_LEAF	BATCH001	65	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
7183	629556ca5cc690eb7a10f9a55698f79f47a77fda3e347ff0203fd57f6b5c59e1	LinerPlate설치공사	W_LEAF	BATCH001	66	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
3414	64c198e2f4f6f807628e1008efb84d0d9099439f0dd82503c261294ec5f039ab	MSS공법	W_LEAF	BATCH001	67	AMBIGUOUS	HOLD	EMPTY	NOT_APPROVED
3515	23e54dd85bd66bffef39818a96994619531f1e6b24d1731a1bf8192c83bc052e	NATM공법굴착	W_LEAF	BATCH001	68	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
0373	cb3e7b87864a42cd651e9999dda3899765695750eae73417932c92bf9f92fa2e	P.P마대가물막이	W_LEAF	BATCH001	69	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
268	7eb4e64be9df29fcaa2ece3d41973c572a41c6704e55c6a41e7356b413e21a79	PC부속공사	W_MID	BATCH001	70	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
2681	d5ea915017e7f076451956e9fdab4d46f19c7e617f2e22f6ff57c93a9b59a9bb	PC부속재설치공사	W_LEAF	BATCH001	71	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
262	916b52957a2ed4ff2487f96cc0416087e7642fac86aa4b48db380e1e340d8cf3	PC부재생산	W_MID	BATCH001	72	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
263	c8be52f082068bbc8a2285bed88627abadb82de4bf46ddc8af55c392e751177e	PC부재운반	W_MID	BATCH001	73	AMBIGUOUS	HOLD	EMPTY	NOT_APPROVED
2646	1b8be951bec6ac3940752879a2072e3a8e7fb97ecf3c102a215e87f1d42dc659	PC슬라브조립	W_LEAF	BATCH001	74	AMBIGUOUS	HOLD	EMPTY	NOT_APPROVED
244	1e9e33472b26e81afbf9c6b439f8f79b50559c153cc71d82ad7e9422a7f1d590	PC연속벽흙막이	W_MID	BATCH001	75	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
3821	fa508c7d5e0e61527e6d0c034cb5ee99a206230111ad1271cd3f6382856ee7c9	PC옹벽	W_LEAF	BATCH001	76	FACILITY_EQUIPMENT	REJECT	EMPTY	NOT_APPROVED
2682	d1b90a65c1dad0b8b06dc9fa87e6d7ae12e921d461c70b4562d0a97f474e703b	PC조인트그라우팅	W_LEAF	BATCH001	77	AMBIGUOUS	HOLD	EMPTY	NOT_APPROVED
261	fd9efc2bb3c82fcd8ca399ec862e83eba291fb48f5c646ffef4e73b9e6957576	PC형틀및생산시설	W_MID	BATCH001	78	FACILITY_EQUIPMENT	REJECT	EMPTY	NOT_APPROVED
3415	b0f74699d74c07ae6fa100aeede354bd4d6b20e188ec5c237f0048e3ac4dd011	PSM공법	W_LEAF	BATCH001	79	AMBIGUOUS	HOLD	EMPTY	NOT_APPROVED
1844	3ac0772b231b17dafe1ea899b70772ad89dabb608d0c3a261a697c19868fda6a	PVC관제거	W_LEAF	BATCH001	80	AMBIGUOUS	HOLD	EMPTY	NOT_APPROVED
2324	6d70e7206cfa3b61b1dbcedfb234ec878a0141b119cc65f39f2bf12510c6318b	RC말뚝	W_LEAF	BATCH001	81	MATERIAL_COMPONENT	REJECT	EMPTY	NOT_APPROVED
3716	5d973d4bd3610d1d8e89b683eaec3d91219ad8176d08d595467a0490a8fb9d3d	Riprap재료축조	W_LEAF	BATCH001	82	AMBIGUOUS	HOLD	EMPTY	NOT_APPROVED
