case_id	review_concept_key	source_keys	semantic_kind	issue_type	gpt_decision	canonical_parent_resolution	recommended_parent_concept_key	proposed_canonical_label	label_basis	source_preservation	owner_approval_state	resolution_status	resolution_notes
H-01	fce048a6ba4d60e4520ac1f54189361e1b473e1bab9f15c88000e42fa44abe0c	08 | 073	PROCESS	CROSS_ROOT	KEEP_CONCEPT	SINGLE_PARENT_CANDIDATE	b010f76c574f6761abb7e73d610ed737629be5b00dffea26cbddac07135e7587	EMPTY	EMPTY	YES	NOT_APPROVED	GPT_RESOLVED	건축품질시험은 동일 PROCESS. source root 복제이며 품질시험을 parent candidate로 유지.
H-02	b96f9d30b8931f4768261890e851dbc2960bd14e6d98e1db0078be9a5d6da033	1242 | 1222	TASK	MULTI_PARENT	KEEP_CONCEPT	PARENT_REQUIRES_LATER_MODELING	EMPTY	EMPTY	EMPTY	YES	NOT_APPROVED	GPT_RESOLVED	동적계측은 동일 TASK. 구조체/교량 parent 차이는 적용 context이며 이번 단계에서 단일 parent를 선택하지 않음.
H-03	4a6cae8b65bedc11b1616a7a667a747d748907580ba113761f735b55675f5ece	1861 | 1871	TASK	MULTI_PARENT	KEEP_CONCEPT	PARENT_REQUIRES_LATER_MODELING	EMPTY	EMPTY	EMPTY	YES	NOT_APPROVED	GPT_RESOLVED	배관철거 해체 동일 TASK 유지. 기계/전기통신 parent는 설비 domain context.
H-04	d7a4359635a90a4ae705a4e232e3096c0bbe9b47aa7a1b3470e92af01ce3674e	1863 | 1873	TASK	MULTI_PARENT	KEEP_CONCEPT	PARENT_REQUIRES_LATER_MODELING	EMPTY	EMPTY	EMPTY	YES	NOT_APPROVED	GPT_RESOLVED	장비철거 해체 동일 TASK 유지. parent는 후속 hierarchy modeling 대상.
H-05	25bc4f13e4b4fea37cc37f94f886e10167e0c84a5d3abd5a1ff8836797e88a87	1864 | 1874	TASK	MULTI_PARENT	KEEP_CONCEPT	PARENT_REQUIRES_LATER_MODELING	EMPTY	EMPTY	EMPTY	YES	NOT_APPROVED	GPT_RESOLVED	잡철물철거 해체 동일 TASK 유지. parent는 후속 hierarchy modeling 대상.
H-06	6985c17f351847499f1c250343deb7f6b9c81cc4d194fe15f055b3fa2b9c4d0f	5352 | 5252	TASK	CROSS_ROOT	KEEP_CONCEPT	SINGLE_PARENT_CANDIDATE	d247d23d1ed4e328c2447c090f6004c4d9eae4f00fa0467f4a36103620df8729	EMPTY	EMPTY	YES	NOT_APPROVED	GPT_RESOLVED	계단채임판(라이저)석재붙이기는 동일 TASK. 이름의 재료 의미와 정합한 석재계단붙이기를 parent candidate로 유지.
L-01	662a1cd5be3e0e40b809a2385f9b185da542c9cafc8a3f8b26ea47aac1b6e4a7	185	PROCESS	LEXICAL_NOISE	CLEAN_LABEL_CONFIRMED	EMPTY	EMPTY	지하구조물제거	KNOWN_NOISE_REMOVAL	YES	NOT_APPROVED	GPT_RESOLVED	EMPTY
L-02	b04a22eac59269ecbefbb8cb7b88dbc9bb80873d12c84cd2a917409e70d1dd4b	673	PROCESS	LEXICAL_NOISE	HOLD_LABEL	EMPTY	EMPTY	EMPTY	EMPTY	YES	NOT_APPROVED	GPT_RESOLVED	known suffix 제거 후에도 본문 접합/결손 가능성이 존재. 임의 띄어쓰기·분할·교정 금지.
L-03	f2845fdbbbc2e76f294d13974254c644ee77c981dbcbc46800ac4544c0b58d13	8621 | 862	PROCESS	LEXICAL_NOISE	EXISTING_CLEAN_MEMBER_CONFIRMED	EMPTY	EMPTY	건축물전기설비공사	EXISTING_CLEAN_SOURCE_MEMBER	YES	NOT_APPROVED	GPT_RESOLVED	EMPTY
L-04	6d83ddbf5bdcb4ffb22e45aa73bf91c2c300baa4b577a7370e97e4f7a76532bf	0515	TASK	LEXICAL_NOISE	CLEAN_LABEL_CONFIRMED	EMPTY	EMPTY	도로오염방지	KNOWN_NOISE_REMOVAL	YES	NOT_APPROVED	GPT_RESOLVED	EMPTY
L-05	8a5ad2e2dcbf8667bef87a48c6977f121135878995137a6c32e4058b1be6cf95	1152	TASK	LEXICAL_NOISE	CLEAN_LABEL_CONFIRMED	EMPTY	EMPTY	등록전환측량	KNOWN_NOISE_REMOVAL	YES	NOT_APPROVED	GPT_RESOLVED	EMPTY
L-06	34cb37de55ba2869be01ba980c0bc2c8022e80c5d7afdb4dba85911449da7aa8	2267	TASK	LEXICAL_NOISE	CLEAN_LABEL_CONFIRMED	EMPTY	EMPTY	지반그라우팅검사	KNOWN_NOISE_REMOVAL	YES	NOT_APPROVED	GPT_RESOLVED	EMPTY
L-07	1b5fe88148c46cef4d8d7ab31a1199f3f8972780ca23ac8d08fec82be0bf6496	2652	TASK	LEXICAL_NOISE	CLEAN_LABEL_CONFIRMED	EMPTY	EMPTY	지하도PC부재조립	KNOWN_NOISE_REMOVAL	YES	NOT_APPROVED	GPT_RESOLVED	EMPTY
L-08	aefbddc29d2b7e3768edcdd440075176fcda8b8c2ac759d03fbd3bbb9fdf8056	3552	PROCESS	LEXICAL_NOISE	CLEAN_LABEL_CONFIRMED	EMPTY	EMPTY	터널내부지보	KNOWN_NOISE_REMOVAL	YES	NOT_APPROVED	GPT_RESOLVED	EMPTY
L-09	a62cfdb19570c113a27724aa798938cfba9e0b6346b7420b30bd3a6ab2aff855	5282	TASK	LEXICAL_NOISE	CLEAN_LABEL_CONFIRMED	EMPTY	EMPTY	석재거친다듬마감	KNOWN_NOISE_REMOVAL	YES	NOT_APPROVED	GPT_RESOLVED	EMPTY
L-10	875e1cce58c38eeef89cb71fc215170c124b034a44eb36cfcad2c1ad7acf37d5	5972	TASK	LEXICAL_NOISE	CLEAN_LABEL_CONFIRMED	EMPTY	EMPTY	교목수간보호	KNOWN_NOISE_REMOVAL	YES	NOT_APPROVED	GPT_RESOLVED	EMPTY
