family_key	task_name	task_name_normalized	occurrence_count	semantic_decision	mapping_type	target_canonical_id	target_canonical_name	owner_default	production_candidate	gpt_reason
0756c82cf78ed670c83363f3233e0d198432bafe0a422ed6fc857ca0754e82cc	반출작업	반출작업	9	CANONICAL_GAP				HOLD	NO	INDEPENDENT_KALIS_TASK_CONCEPT_WITHOUT_SUITABLE_EXISTING_CANONICAL_TARGET
079391c8343fceeb126f842f6d76e7031a22cbf92bceb56fd510d0b1e811b703	벌목작업	벌목작업	8	CANONICAL_GAP				HOLD	NO	INDEPENDENT_KALIS_TASK_CONCEPT_WITHOUT_SUITABLE_EXISTING_CANONICAL_TARGET
0a231c9f8bb1d0ae86a92ecd91221a878a2443b1bb2ef64af154f0249d5c788c	설비작업	설비작업	16	AMBIGUOUS	AMBIGUOUS			HOLD	NO	MULTIPLE_CANDIDATE_CANONICALS_OR_CONTEXT_DEPENDENT_MEANING_INSUFFICIENT_EVIDENCE_FOR_SINGLE_MAPPING
0acdd6f6e91785bc8883ca863f907a312b6533f5b151215ca1f37fce8b9b3410	준비작업	준비작업	17	AMBIGUOUS	AMBIGUOUS			HOLD	NO	MULTIPLE_CANDIDATE_CANONICALS_OR_CONTEXT_DEPENDENT_MEANING_INSUFFICIENT_EVIDENCE_FOR_SINGLE_MAPPING
0e7cb038dc0a2250f2c8fc713582ed2fe79cbe67f5e9c0b08c8c8a43ef13900f	적재작업	적재작업	21	CANONICAL_GAP				HOLD	NO	INDEPENDENT_KALIS_TASK_CONCEPT_WITHOUT_SUITABLE_EXISTING_CANONICAL_TARGET
1391ca1476e71a2d09c59834e96ab8f45c21ffbf53cce7ae23aed2c4783d2299	마감작업	마감작업	36	AMBIGUOUS	AMBIGUOUS			HOLD	NO	MULTIPLE_CANDIDATE_CANONICALS_OR_CONTEXT_DEPENDENT_MEANING_INSUFFICIENT_EVIDENCE_FOR_SINGLE_MAPPING
19af917f9c96e6e96b984e95c53a93ad9ab35457202511f7b151a8681accecfc	매설작업	매설작업	14	CANONICAL_GAP				HOLD	NO	INDEPENDENT_KALIS_TASK_CONCEPT_WITHOUT_SUITABLE_EXISTING_CANONICAL_TARGET
19c7f999b62c4f39de4c9f889a0f5261b1259d4c4ec2a346d0bcfb03c30a13dd	측량작업	측량작업	2	AMBIGUOUS	AMBIGUOUS			HOLD	NO	MULTIPLE_CANDIDATE_CANONICALS_OR_CONTEXT_DEPENDENT_MEANING_INSUFFICIENT_EVIDENCE_FOR_SINGLE_MAPPING
282d033d279da81ab42162f2cdf4c2bf2ba05e217d927dc36197cd732c5a3b97	기타	기타	33	NO_MATCH	NO_MATCH			REJECT	NO	CATCH_ALL_LABEL_NOT_A_TASK_CONCEPT
2952b47b898b60f09f2cd04e8217794992537f4b967d23dee4d2a8bf2aeb3258	정비작업	정비작업	11	CANONICAL_GAP				HOLD	NO	INDEPENDENT_KALIS_TASK_CONCEPT_WITHOUT_SUITABLE_EXISTING_CANONICAL_TARGET
29ae570d4c4b0f09a50eb0e1ef42e47bca89566fd489fcf6da31ca1acfecd808	쌓기작업	쌓기작업	18	AMBIGUOUS	AMBIGUOUS			HOLD	NO	MULTIPLE_CANDIDATE_CANONICALS_OR_CONTEXT_DEPENDENT_MEANING_INSUFFICIENT_EVIDENCE_FOR_SINGLE_MAPPING
30dcdc5a76164fafc012336eacaf3c873d854adcb0be380e11d6dce61b78d8ab	인양작업	인양작업	26	CANONICAL_GAP				HOLD	NO	INDEPENDENT_KALIS_TASK_CONCEPT_WITHOUT_SUITABLE_EXISTING_CANONICAL_TARGET
3c910f25b445bea6a92ceffeca88fb67009e4f969bf24270daecd9bfb850c5f8	용접작업	용접작업	29	POSSIBLE_RELATED	POSSIBLE_RELATED	bf3841d0-71ea-4464-a7d9-d0dcdc3dfa33	궤도현장용접	HOLD	YES_HOLD_ONLY	GENERIC_WELDING_IS_BROADER_THAN_CANONICAL_TRACK_ONSITE_WELDING
3f2ad30b04758b15159d56b2e9482ef2dd91275b49c57160abcb94955d7e0064	보수 및 교체작업	보수 및 교체작업	11	CANONICAL_GAP				HOLD	NO	INDEPENDENT_KALIS_TASK_CONCEPT_WITHOUT_SUITABLE_EXISTING_CANONICAL_TARGET
472845d4fc3f329f9af4a3fd3c6136a2998126cc621e414a74dcd3496c2f3ed8	장약 및 발파작업	장약 및 발파작업	9	NARROWER_THAN	NARROWER_THAN	473d69ee-4433-487f-bc43-c35c1f2ea28f	발파굴착	UNDECIDED	YES	EXPLOSIVE_CHARGING_AND_BLASTING_IS_A_SPECIFIC_SUBACTIVITY_OF_CANONICAL_TUNNEL_BLAST_EXCAVATION
48105d18ac598a275b9d9af1d4c9dde59b1b0828183211841e868a38d688924f	절단작업	절단작업	22	AMBIGUOUS	AMBIGUOUS			HOLD	NO	MULTIPLE_CANDIDATE_CANONICALS_OR_CONTEXT_DEPENDENT_MEANING_INSUFFICIENT_EVIDENCE_FOR_SINGLE_MAPPING
4ca71b41bfbd8dcb80a9d8059a77d8c0e600cae75fbef1caa99f4dad989f04b7	정리작업	정리작업	19	AMBIGUOUS	AMBIGUOUS			HOLD	NO	MULTIPLE_CANDIDATE_CANONICALS_OR_CONTEXT_DEPENDENT_MEANING_INSUFFICIENT_EVIDENCE_FOR_SINGLE_MAPPING
5d6f033d9ee872a3183f43b481a283ae25272493f60697e6c522efd45e06979b	청소작업	청소작업	2	AMBIGUOUS	AMBIGUOUS			HOLD	NO	MULTIPLE_CANDIDATE_CANONICALS_OR_CONTEXT_DEPENDENT_MEANING_INSUFFICIENT_EVIDENCE_FOR_SINGLE_MAPPING
65626010f2477ae09f3144563507bff74d27169c5612620470c3baef1297b869	운반작업	운반작업	25	AMBIGUOUS	AMBIGUOUS			HOLD	NO	MULTIPLE_CANDIDATE_CANONICALS_OR_CONTEXT_DEPENDENT_MEANING_INSUFFICIENT_EVIDENCE_FOR_SINGLE_MAPPING
661b1eba5666bb84171755d9955531e6151203c533db707086e82888b2386540	고소작업	고소작업	25	CANONICAL_GAP				HOLD	NO	INDEPENDENT_KALIS_TASK_CONCEPT_WITHOUT_SUITABLE_EXISTING_CANONICAL_TARGET
8c0b57e9750758e2b1fd5835c29669218c2a78a005a18c3ba85bcbd6857c7543	항타 및 항발작업	항타 및 항발작업	19	CANONICAL_GAP				HOLD	NO	INDEPENDENT_KALIS_TASK_CONCEPT_WITHOUT_SUITABLE_EXISTING_CANONICAL_TARGET
8f4821b340cc01494514c5b5320076f222f0a8f76a1c09fd37882b02a4f546a5	도장작업	도장작업	19	AMBIGUOUS	AMBIGUOUS			HOLD	NO	MULTIPLE_CANDIDATE_CANONICALS_OR_CONTEXT_DEPENDENT_MEANING_INSUFFICIENT_EVIDENCE_FOR_SINGLE_MAPPING
8f6ecd321691ca29c767d1260283d0df3a18f7467bf7342879ba1b42f6971f82	양생작업	양생작업	5	POSSIBLE_RELATED	POSSIBLE_RELATED	3258e587-68ab-40c8-80df-dd4fa0db60b7	콘크리트양생	HOLD	YES_HOLD_ONLY	GENERIC_CURING_MAY_ALIGN_WITH_CONCRETE_CURING_BUT_NOT_STRICTLY_EQUIVALENT
997f626aa64669e84021801d98f7e3a3606f7cf83769292b52db6dc016179421	확인 및 점검작업	확인 및 점검작업	19	AMBIGUOUS	AMBIGUOUS			HOLD	NO	MULTIPLE_CANDIDATE_CANONICALS_OR_CONTEXT_DEPENDENT_MEANING_INSUFFICIENT_EVIDENCE_FOR_SINGLE_MAPPING
a061f38c4032ce113a6f576c3b1cc9e096cea0537d9569ce5d979ff5ba3f86dd	상차 및 하역작업	상차 및 하역작업	16	CANONICAL_GAP				HOLD	NO	INDEPENDENT_KALIS_TASK_CONCEPT_WITHOUT_SUITABLE_EXISTING_CANONICAL_TARGET
a966477f21ef79379eb27c418c693a5bdc61034e833f766c12361697a1257d8a	절취작업	절취작업	8	CANONICAL_GAP				HOLD	NO	INDEPENDENT_KALIS_TASK_CONCEPT_WITHOUT_SUITABLE_EXISTING_CANONICAL_TARGET
b1d6b393b80eb3d2952fefdf0d7b27e2d89a40311350d9e8345f9cc2d1f846f1	굴착작업	굴착작업	31	AMBIGUOUS	AMBIGUOUS			HOLD	NO	MULTIPLE_CANDIDATE_CANONICALS_OR_CONTEXT_DEPENDENT_MEANING_INSUFFICIENT_EVIDENCE_FOR_SINGLE_MAPPING
b45486f292dde403a31c88157aa9a6b6888b5cd1eb5644d44dcab22dbbdc46b2	인발작업	인발작업	5	POSSIBLE_RELATED	POSSIBLE_RELATED	06e686fc-0062-46af-b4f2-72027b7a4668	RockBolt축력및인발측정	HOLD	YES_HOLD_ONLY	GENERIC_PULL_OUT_MAY_RELATE_TO_ROCKBOLT_AXIAL_FORCE_AND_PULL_TEST_BUT_PURPOSE_DIFFERS
bd0485e938079a0f3212b49f32b13b1e7a0d8d998700c754c64ba64251caeb2c	설치작업	설치작업	45	AMBIGUOUS	AMBIGUOUS			HOLD	NO	MULTIPLE_CANDIDATE_CANONICALS_OR_CONTEXT_DEPENDENT_MEANING_INSUFFICIENT_EVIDENCE_FOR_SINGLE_MAPPING
cf5188a72ceab1ccd264117d85b4fdfffe7d059db4a699c96f8558861c4e4bcb	부설 및 다짐작업	부설 및 다짐작업	21	CANONICAL_GAP				HOLD	NO	INDEPENDENT_KALIS_TASK_CONCEPT_WITHOUT_SUITABLE_EXISTING_CANONICAL_TARGET
cf5fea65784d96e176786807861c6e1dc09cbf17dd41bc7cd1c340efc5171e1b	연결작업	연결작업	22	AMBIGUOUS	AMBIGUOUS			HOLD	NO	MULTIPLE_CANDIDATE_CANONICALS_OR_CONTEXT_DEPENDENT_MEANING_INSUFFICIENT_EVIDENCE_FOR_SINGLE_MAPPING
d8e7b54e66d8e5a1bd480770883eae4b5b5ed79631b786d8f9b6c15db98d5ffe	해체작업	해체작업	26	AMBIGUOUS	AMBIGUOUS			HOLD	NO	MULTIPLE_CANDIDATE_CANONICALS_OR_CONTEXT_DEPENDENT_MEANING_INSUFFICIENT_EVIDENCE_FOR_SINGLE_MAPPING
df6fbe5b23ee09f8601a369c8d5758f13b17f760ef21dcd75ad8a2156deccb7b	타설작업	타설작업	23	AMBIGUOUS	AMBIGUOUS			HOLD	NO	MULTIPLE_CANDIDATE_CANONICALS_OR_CONTEXT_DEPENDENT_MEANING_INSUFFICIENT_EVIDENCE_FOR_SINGLE_MAPPING
e7316cf9a23edc1490a432601f518b9184dc64c9b05170a4729e8a61ba35dfe4	이동	이동	34	AMBIGUOUS	AMBIGUOUS			HOLD	NO	MULTIPLE_CANDIDATE_CANONICALS_OR_CONTEXT_DEPENDENT_MEANING_INSUFFICIENT_EVIDENCE_FOR_SINGLE_MAPPING
