source_review_stage	source_review_no	source_key	seed_proposal_key	name	semantic_kind_before	review_decision_before	gpt_hold_resolution	gpt_resolved_semantic_kind	gpt_resolved_review_decision	gpt_hold_reason	approval_state
BATCH001	55	2352	7185d093d571ac18405e863997673d3b0a14c1688b7c31035e5eb4bc1632bc7b	Attiplugite슬러리월	AMBIGUOUS	HOLD	RETAIN_HOLD	AMBIGUOUS	HOLD	GPT_009_HOLD_RETAIN_INSUFFICIENT_EVIDENCE	NOT_APPROVED
BATCH001	56	3412	f94eee52d48ef45f0a44677664858272c19dbcb89e581c7d852fee4913bb28aa	FCM공법	AMBIGUOUS	HOLD	RESOLVED	METHOD	REJECT	GPT_009_HOLD_RESOLVE_METHOD_REJECT	NOT_APPROVED
BATCH001	59	3413	9fc549e2cbadc980c350dff5f7e86ab9012456189125abf9c01961e6625332c3	FSM공법	AMBIGUOUS	HOLD	RESOLVED	METHOD	REJECT	GPT_009_HOLD_RESOLVE_METHOD_REJECT	NOT_APPROVED
BATCH001	61	2256	93d31167a68d963ed8c9385ef8f2131ce36a8e4dd84ffeff6b03c00c889dbe93	GCP(GravelCompactionPile)	AMBIGUOUS	HOLD	RESOLVED	METHOD	REJECT	GPT_009_HOLD_RESOLVE_METHOD_REJECT	NOT_APPROVED
BATCH001	63	3411	9b9e63b59e70420fbc4aaaad17fd2dcff623853aa7499cac923b30f025548327	ILM공법	AMBIGUOUS	HOLD	RESOLVED	METHOD	REJECT	GPT_009_HOLD_RESOLVE_METHOD_REJECT	NOT_APPROVED
BATCH001	67	3414	64c198e2f4f6f807628e1008efb84d0d9099439f0dd82503c261294ec5f039ab	MSS공법	AMBIGUOUS	HOLD	RESOLVED	METHOD	REJECT	GPT_009_HOLD_RESOLVE_METHOD_REJECT	NOT_APPROVED
BATCH001	73	263	c8be52f082068bbc8a2285bed88627abadb82de4bf46ddc8af55c392e751177e	PC부재운반	AMBIGUOUS	HOLD	RESOLVED	TASK	KEEP_AS_DISTINCT	GPT_009_HOLD_RESOLVE_TASK_KEEP	NOT_APPROVED
BATCH001	74	2646	1b8be951bec6ac3940752879a2072e3a8e7fb97ecf3c102a215e87f1d42dc659	PC슬라브조립	AMBIGUOUS	HOLD	RESOLVED	TASK	KEEP_AS_DISTINCT	GPT_009_HOLD_RESOLVE_TASK_KEEP	NOT_APPROVED
BATCH001	77	2682	d1b90a65c1dad0b8b06dc9fa87e6d7ae12e921d461c70b4562d0a97f474e703b	PC조인트그라우팅	AMBIGUOUS	HOLD	RESOLVED	TASK	KEEP_AS_DISTINCT	GPT_009_HOLD_RESOLVE_TASK_KEEP	NOT_APPROVED
BATCH001	79	3415	b0f74699d74c07ae6fa100aeede354bd4d6b20e188ec5c237f0048e3ac4dd011	PSM공법	AMBIGUOUS	HOLD	RESOLVED	METHOD	REJECT	GPT_009_HOLD_RESOLVE_METHOD_REJECT	NOT_APPROVED
BATCH001	80	1844	3ac0772b231b17dafe1ea899b70772ad89dabb608d0c3a261a697c19868fda6a	PVC관제거	AMBIGUOUS	HOLD	RESOLVED	TASK	KEEP_AS_DISTINCT	GPT_009_HOLD_RESOLVE_TASK_KEEP	NOT_APPROVED
BATCH001	82	3716	5d973d4bd3610d1d8e89b683eaec3d91219ad8176d08d595467a0490a8fb9d3d	Riprap재료축조	AMBIGUOUS	HOLD	RESOLVED	TASK	KEEP_AS_DISTINCT	GPT_009_HOLD_RESOLVE_TASK_KEEP	NOT_APPROVED
BATCH001	83	1234	0b9f05fd2c7861efb37e5a9d4aedc2360712edb9a0651d2bc85b5b79820c9cff	RockBolt축력및인발측정	AMBIGUOUS	HOLD	RESOLVED	TASK	KEEP_AS_DISTINCT	GPT_009_HOLD_RESOLVE_TASK_KEEP	NOT_APPROVED
BATCH001	84	2255	b71d60da07ee37da0d6b953c5ce1ed656e9d1a6e352cd2f8bdfb967f5e241881	SCP(SandCompactionPile)	AMBIGUOUS	HOLD	RESOLVED	METHOD	REJECT	GPT_009_HOLD_RESOLVE_METHOD_REJECT	NOT_APPROVED
BATCH001	88	1235	efc89b38828e07459f9b0d0c218c397a1fa34886b1aadd2949c75c139881b370	Shotcrete응력측정	AMBIGUOUS	HOLD	RESOLVED	TASK	KEEP_AS_DISTINCT	GPT_009_HOLD_RESOLVE_TASK_KEEP	NOT_APPROVED
BATCH001	93	5425	a3494d10c2e014eb537f40c2047c6fc42f04dcaf0747c1e7fb5a21f8f6ed2491	UBR(UnitBathRoom)설치	AMBIGUOUS	HOLD	RESOLVED	TASK	KEEP_AS_DISTINCT	GPT_009_HOLD_RESOLVE_TASK_KEEP	NOT_APPROVED
BATCH002	355	3611	d57ce35223451452edbf6269a44b856a5e8d6ee2cc63e10e2fe07c0b21d9bf24	연질토사(N=	AMBIGUOUS	HOLD	RETAIN_HOLD	AMBIGUOUS	HOLD	GPT_009_HOLD_RETAIN_MALFORMED_SOURCE	NOT_APPROVED
LEAF_004B	1057	2661	81d15e079cde5a0d846524eb47afc524fe5808fa565f5ec17ca001989cc547a2	저층(	AMBIGUOUS	HOLD	RETAIN_HOLD	AMBIGUOUS	HOLD	GPT_009_HOLD_RETAIN_MALFORMED_SOURCE	NOT_APPROVED
LEAF_004B	1058	2662	a5a24e7fea02ec1bb601bcb46557f6ce1c4c310c4eb29038ea090d559e111ae4	중층(	AMBIGUOUS	HOLD	RETAIN_HOLD	AMBIGUOUS	HOLD	GPT_009_HOLD_RETAIN_MALFORMED_SOURCE	NOT_APPROVED
LEAF_004B	1059	2663	39984ec658118e69b1cd187ccc6b360cb19034955695b57049bd6e1aa925f5b4	고층(	AMBIGUOUS	HOLD	RETAIN_HOLD	AMBIGUOUS	HOLD	GPT_009_HOLD_RETAIN_MALFORMED_SOURCE	NOT_APPROVED
LEAF_004C	1205	3612	99b9161d5b49b1c81ebd525bc7bd3bbf47260cbbc12f0a1c46b0f55f22bf826e	중질토사(N=	AMBIGUOUS	HOLD	RETAIN_HOLD	AMBIGUOUS	HOLD	GPT_009_HOLD_RETAIN_MALFORMED_SOURCE	NOT_APPROVED
LEAF_004C	1206	3613	c5f3fa842907c6d1134bf288eeec4b28d02829f55005c0389e97789df0dcb620	경질토사(N=	AMBIGUOUS	HOLD	RETAIN_HOLD	AMBIGUOUS	HOLD	GPT_009_HOLD_RETAIN_MALFORMED_SOURCE	NOT_APPROVED
LEAF_004C	1207	3614	239dafdebbc9cd4043da1e332a49696941c6e2d434a3e588555c100c8b442655	최경질토사(N=	AMBIGUOUS	HOLD	RETAIN_HOLD	AMBIGUOUS	HOLD	GPT_009_HOLD_RETAIN_MALFORMED_SOURCE	NOT_APPROVED
LEAF_004C	1208	3615	357045e5dbdab33934142c2da5caed89348ae0a152b730bdc8f826155db92888	자갈석인연질토사(N=	AMBIGUOUS	HOLD	RETAIN_HOLD	AMBIGUOUS	HOLD	GPT_009_HOLD_RETAIN_MALFORMED_SOURCE	NOT_APPROVED
LEAF_004C	1209	3616	f2c37f3e456ae9bf1838dd7b6b2ceaa9980e5002f5b66bd180fccbc9b8a23a6c	자갈석인경질토(N=	AMBIGUOUS	HOLD	RETAIN_HOLD	AMBIGUOUS	HOLD	GPT_009_HOLD_RETAIN_MALFORMED_SOURCE	NOT_APPROVED
