review_concept_key	review_order	effective_semantic_kind	concept_form	hierarchy_readiness	label_readiness	member_source_keys	member_names	member_source_paths	direct_parent_concept_keys	nearest_candidate_ancestor_keys	review_reasons	gpt_resolution_status	gpt_resolution_notes
fce048a6ba4d60e4520ac1f54189361e1b473e1bab9f15c88000e42fa44abe0c	57	PROCESS	EQUIVALENCE_GROUP	CROSS_ROOT_REVIEW_REQUIRED	MULTI_MEMBER_SAME_RAW_NAME	08 | 073	건축품질시험 | 건축품질시험	품질시험 > 건축품질시험 | 건축품질시험	b010f76c574f6761abb7e73d610ed737629be5b00dffea26cbddac07135e7587	b010f76c574f6761abb7e73d610ed737629be5b00dffea26cbddac07135e7587	CROSS_ROOT_REVIEW_REQUIRED	PENDING	EMPTY
662a1cd5be3e0e40b809a2385f9b185da542c9cafc8a3f8b26ea47aac1b6e4a7	295	PROCESS	SINGLETON	SINGLE_PARENT_EVIDENCE	LEXICAL_NOISE_REVIEW_REQUIRED	185	지하구조물제거 - - 대․중․소 분류대․중․소 분류	철거해체공사및시설물보호 > 지하구조물제거 - - 대․중․소 분류대․중․소 분류	13ef25655bb8802c9f2248fa72aa1339b99db5cd94f16bd2ae8d59f8ac83db00	13ef25655bb8802c9f2248fa72aa1339b99db5cd94f16bd2ae8d59f8ac83db00	LEXICAL_NOISE_REVIEW_REQUIRED	PENDING	EMPTY
b04a22eac59269ecbefbb8cb7b88dbc9bb80873d12c84cd2a917409e70d1dd4b	474	PROCESS	SINGLETON	SINGLE_PARENT_EVIDENCE	LEXICAL_NOISE_REVIEW_REQUIRED	673	의료시험및시운전공사실가스공사 - - 대․중․소 분류대․중․소 분류	서비스설비공사 > 의료시험및시운전공사실가스공사 - - 대․중․소 분류대․중․소 분류	4d9e8f9fa87bd378789d8cf760fcc530d324b31228a4807c8d19549ba282a0af	4d9e8f9fa87bd378789d8cf760fcc530d324b31228a4807c8d19549ba282a0af	LEXICAL_NOISE_REVIEW_REQUIRED	PENDING	EMPTY
f2845fdbbbc2e76f294d13974254c644ee77c981dbcbc46800ac4544c0b58d13	529	PROCESS	EQUIVALENCE_GROUP	SINGLE_PARENT_EVIDENCE	LEXICAL_NOISE_REVIEW_REQUIRED	8621 | 862	건축물전기설비공사 | 건축물전기설비공사 - - 대․중․소 분류대․중․소 분류	기타전기설비공사 > 건축물전기설비공사 | 기타전기설비공사 > 건축물전기설비공사 > 건축물전기설비공사 - - 대․중․소 분류대․중․소 분류	5bc3acd70ef94be1828618eb4eee664445fda4b87144a9b0b917ff2c6a19b740	5bc3acd70ef94be1828618eb4eee664445fda4b87144a9b0b917ff2c6a19b740	LEXICAL_NOISE_REVIEW_REQUIRED	PENDING	EMPTY
6d83ddbf5bdcb4ffb22e45aa73bf91c2c300baa4b577a7370e97e4f7a76532bf	615	TASK	SINGLETON	SINGLE_PARENT_EVIDENCE	LEXICAL_NOISE_REVIEW_REQUIRED	0515	도로오염방지 - - 대․중․소 분류대․중․소 분류	현장유지관리 > 가설공해방지 > 도로오염방지 - - 대․중․소 분류대․중․소 분류	e36382f0d8f225fe74d5e7a526053c2fb280393d66819903c899d1baaecfd9c3	e36382f0d8f225fe74d5e7a526053c2fb280393d66819903c899d1baaecfd9c3	LEXICAL_NOISE_REVIEW_REQUIRED	PENDING	EMPTY
8a5ad2e2dcbf8667bef87a48c6977f121135878995137a6c32e4058b1be6cf95	682	TASK	SINGLETON	SINGLE_PARENT_EVIDENCE	LEXICAL_NOISE_REVIEW_REQUIRED	1152	등록전환측량 - - 대․중․소 분류대․중․소 분류	측량 > 지적측량 > 등록전환측량 - - 대․중․소 분류대․중․소 분류	744e95bb6e4a96594b2a7ad300501609c2e73264f98d8b4d92b4726208bb59cd	744e95bb6e4a96594b2a7ad300501609c2e73264f98d8b4d92b4726208bb59cd	LEXICAL_NOISE_REVIEW_REQUIRED	PENDING	EMPTY
b96f9d30b8931f4768261890e851dbc2960bd14e6d98e1db0078be9a5d6da033	706	TASK	EQUIVALENCE_GROUP	MULTI_PARENT_REVIEW_REQUIRED	MULTI_MEMBER_SAME_RAW_NAME	1242 | 1222	동적계측 | 동적계측	계측 > 구조체계측 > 동적계측 | 계측 > 교량공사계측 > 동적계측	22c25c4d80b5f322322cf132f90fa62ee6252d49235e769b6fb93ec87f34cc77 | 9d99ccebbabc3543fa22a500a689aa9c9635bf56f19b31ae3a4c0a79be7f3c4a	22c25c4d80b5f322322cf132f90fa62ee6252d49235e769b6fb93ec87f34cc77 | 9d99ccebbabc3543fa22a500a689aa9c9635bf56f19b31ae3a4c0a79be7f3c4a	MULTI_PARENT_REVIEW_REQUIRED	PENDING	EMPTY
4a6cae8b65bedc11b1616a7a667a747d748907580ba113761f735b55675f5ece	759	TASK	EQUIVALENCE_GROUP	MULTI_PARENT_REVIEW_REQUIRED	MULTI_MEMBER_SAME_RAW_NAME	1861 | 1871	배관철거 해체 | 배관철거 해체	철거해체공사및시설물보호 > 기계설비철거 해체 > 배관철거 해체 | 철거해체공사및시설물보호 > 전기 통신설비철거 해체 > 배관철거 해체	3c3ea3dc55db80472b59e9cf2576dc14a2029e2402467451af504591ead80e56 | 7813a8d1e3c60d92b3956e15f6ed59cb0f8161ab2b50edab4d4f901288342ed0	3c3ea3dc55db80472b59e9cf2576dc14a2029e2402467451af504591ead80e56 | 7813a8d1e3c60d92b3956e15f6ed59cb0f8161ab2b50edab4d4f901288342ed0	MULTI_PARENT_REVIEW_REQUIRED	PENDING	EMPTY
d7a4359635a90a4ae705a4e232e3096c0bbe9b47aa7a1b3470e92af01ce3674e	761	TASK	EQUIVALENCE_GROUP	MULTI_PARENT_REVIEW_REQUIRED	MULTI_MEMBER_SAME_RAW_NAME	1863 | 1873	장비철거 해체 | 장비철거 해체	철거해체공사및시설물보호 > 기계설비철거 해체 > 장비철거 해체 | 철거해체공사및시설물보호 > 전기 통신설비철거 해체 > 장비철거 해체	3c3ea3dc55db80472b59e9cf2576dc14a2029e2402467451af504591ead80e56 | 7813a8d1e3c60d92b3956e15f6ed59cb0f8161ab2b50edab4d4f901288342ed0	3c3ea3dc55db80472b59e9cf2576dc14a2029e2402467451af504591ead80e56 | 7813a8d1e3c60d92b3956e15f6ed59cb0f8161ab2b50edab4d4f901288342ed0	MULTI_PARENT_REVIEW_REQUIRED	PENDING	EMPTY
25bc4f13e4b4fea37cc37f94f886e10167e0c84a5d3abd5a1ff8836797e88a87	762	TASK	EQUIVALENCE_GROUP	MULTI_PARENT_REVIEW_REQUIRED	MULTI_MEMBER_SAME_RAW_NAME	1864 | 1874	잡철물철거 해체 | 잡철물철거 해체	철거해체공사및시설물보호 > 기계설비철거 해체 > 잡철물철거 해체 | 철거해체공사및시설물보호 > 전기 통신설비철거 해체 > 잡철물철거 해체	3c3ea3dc55db80472b59e9cf2576dc14a2029e2402467451af504591ead80e56 | 7813a8d1e3c60d92b3956e15f6ed59cb0f8161ab2b50edab4d4f901288342ed0	3c3ea3dc55db80472b59e9cf2576dc14a2029e2402467451af504591ead80e56 | 7813a8d1e3c60d92b3956e15f6ed59cb0f8161ab2b50edab4d4f901288342ed0	MULTI_PARENT_REVIEW_REQUIRED	PENDING	EMPTY
